Date,PCR,WPCR,Nifty
2022-01-03,1.611,0.654,17677.95
2022-01-04,1.624,0.477,17846.75
2022-01-05,1.631,0.417,17960.95
2022-01-06,1.612,0.646,17788.65
2022-01-07,1.556,0.544,17854.30
2022-01-10,1.589,0.356,18048.20
2022-01-11,1.609,0.343,18083.55
2022-01-12,1.654,0.246,18241.20
2022-01-13,1.670,0.242,18287.25
2022-01-14,1.574,0.241,18295.00
2022-01-17,1.524,0.213,18336.60
2022-01-18,1.371,0.412,18124.35
2022-01-19,1.175,0.557,17941.10
2022-01-20,0.746,0.845,17804.10
2022-01-21,0.705,1.250,17617.80
2022-01-24,0.519,3.105,17151.65
2022-01-25,0.712,1.900,17283.45
2022-01-27,0.770,3.315,17097.35
2022-01-28,1.549,2.565,17125.65
2022-01-31,1.564,1.093,17361.95
2022-02-01,1.565,1.096,17589.00
2022-02-02,1.642,0.734,17795.90
2022-02-03,1.493,1.298,17547.10
2022-02-04,1.465,1.343,17529.65
2022-02-07,1.338,2.657,17218.30
2022-02-08,1.335,2.223,17273.00
2022-02-09,1.370,1.332,17480.15
2022-02-10,1.381,0.960,17617.65
2022-02-11,1.253,1.828,17355.80
2022-02-14,1.097,5.016,16837.85
2022-02-15,1.155,1.265,17360.65
2022-02-16,1.170,1.591,17317.35
2022-02-17,0.932,1.683,17290.20
2022-02-18,0.910,1.531,17278.05
2022-02-21,0.878,1.776,17205.20
2022-02-22,0.826,2.121,17073.60
2022-02-23,0.710,1.943,17080.65
2022-02-24,0.574,27.661,16262.50
2022-02-25,1.917,2.932,16656.05
2022-02-28,1.847,2.264,16794.25
2022-03-02,1.681,2.678,16613.45
2022-03-03,1.683,3.250,16505.60
2022-03-04,1.602,4.340,16528.95
2022-03-07,1.494,5.580,15872.20
2022-03-08,1.390,4.096,16010.90
2022-03-09,1.396,2.375,16365.70
2022-03-10,1.440,1.661,16611.90
2022-03-11,1.465,1.602,16647.75
2022-03-14,1.516,1.093,16685.40
2022-03-15,1.455,1.601,16669.00
2022-03-16,1.470,0.851,17008.75
2022-03-17,1.493,0.521,17322.05
2022-03-21,1.347,0.719,17158.65
2022-03-22,1.335,0.445,17362.80
2022-03-23,1.253,0.548,17272.25
2022-03-24,0.927,0.558,17242.80
2022-03-25,0.813,0.609,17194.05
2022-03-28,0.804,0.454,17268.95
2022-03-29,0.984,0.362,17368.05
2022-03-30,1.102,0.233,17515.40
2022-03-31,1.009,0.191,17467.00
2022-04-01,1.392,0.548,17713.00
2022-04-04,1.445,0.429,18098.20
2022-04-05,1.446,0.430,18017.50
2022-04-06,1.426,0.746,17867.45
2022-04-07,1.427,0.747,17730.35
2022-04-08,1.447,0.530,17878.75
2022-04-11,1.422,0.699,17723.95
2022-04-12,1.333,0.890,17576.80
2022-04-13,1.273,1.015,17519.25
2022-04-18,1.170,1.683,17229.60
2022-04-19,1.015,2.639,16969.35
2022-04-20,0.987,1.591,17162.70
2022-04-21,0.937,0.821,17410.15
2022-04-22,0.721,1.469,17177.75
2022-04-25,0.646,2.243,16958.35
2022-04-26,0.891,1.199,17204.00
2022-04-27,0.744,1.860,17053.80
2022-04-28,1.097,1.163,17256.20
2022-04-29,1.712,1.566,17135.25
2022-05-02,1.649,1.581,17084.25
2022-05-04,1.471,2.958,16702.50
2022-05-05,1.446,2.933,16694.30
2022-05-06,1.354,3.864,16419.40
2022-05-09,1.265,4.309,16298.85
2022-05-10,1.236,4.482,16247.10
2022-05-11,1.172,4.326,16177.95
2022-05-12,1.025,6.864,15810.75
2022-05-13,1.053,7.773,15786.60
2022-05-16,1.008,6.480,15842.65
2022-05-17,1.057,2.407,16254.95
2022-05-18,0.999,2.756,16226.05
2022-05-19,0.696,5.290,15794.45
2022-05-20,1.013,1.619,16253.25
2022-05-23,0.943,2.402,16183.35
2022-05-24,0.819,2.918,16104.70
2022-05-25,0.616,3.708,16013.80
2022-05-26,0.882,2.606,16159.05
2022-05-27,1.296,1.164,16326.90
2022-05-30,1.304,0.783,16643.45
2022-05-31,1.317,0.895,16577.60
2022-06-01,1.264,0.997,16508.10
2022-06-02,1.285,0.842,16621.20
2022-06-03,1.337,0.900,16604.65
2022-06-06,1.322,0.919,16518.25
2022-06-07,1.305,1.148,16429.25
2022-06-08,1.286,1.235,16364.80
2022-06-09,1.297,1.016,16475.45
2022-06-10,1.295,1.504,16219.35
2022-06-13,1.187,2.609,15766.25
2022-06-14,1.149,2.541,15737.45
2022-06-15,1.146,2.555,15708.65
2022-06-16,1.101,4.160,15348.55
2022-06-17,1.030,3.646,15319.25
2022-06-20,1.033,3.428,15437.65
2022-06-21,1.066,2.000,15638.40
2022-06-22,1.065,3.472,15403.40
2022-06-23,0.990,2.918,15572.95
2022-06-24,1.000,2.178,15712.30
2022-06-27,0.981,1.733,15835.55
2022-06-28,0.909,1.621,15847.70
2022-06-29,0.999,2.207,15779.90
2022-06-30,0.972,2.416,15786.35
2022-07-01,1.275,1.891,15754.25
2022-07-04,1.255,1.557,15836.95
2022-07-05,1.248,1.843,15776.05
2022-07-06,1.285,1.196,15990.45
2022-07-07,1.285,0.894,16148.15
2022-07-08,1.288,0.865,16225.20
2022-07-11,1.274,0.921,16203.50
2022-07-12,1.203,1.314,16044.25
2022-07-13,1.167,1.513,15979.90
2022-07-14,1.168,1.707,15932.55
2022-07-15,1.209,1.213,16068.30
2022-07-18,1.229,0.724,16300.25
2022-07-19,1.180,0.664,16346.95
2022-07-20,1.287,0.516,16519.60
2022-07-21,1.311,0.480,16597.50
2022-07-22,1.350,0.400,16722.60
2022-07-25,1.067,0.488,16632.10
2022-07-26,0.837,0.713,16491.30
2022-07-27,1.164,0.423,16653.30
2022-07-28,1.317,0.151,16923.65
2022-07-29,1.466,0.366,17201.85
2022-08-01,1.476,0.316,17378.30
2022-08-02,1.454,0.379,17346.30
2022-08-03,1.431,0.338,17407.15
2022-08-04,1.369,0.368,17387.85
2022-08-05,1.369,0.352,17416.15
2022-08-08,1.377,0.256,17557.75
2022-08-10,1.371,0.258,17558.25
2022-08-11,1.372,0.201,17684.95
2022-08-12,1.376,0.203,17713.05
2022-08-16,1.356,0.146,17850.65
2022-08-17,1.362,0.139,17974.10
2022-08-18,1.198,0.162,17980.35
2022-08-19,0.689,0.342,17759.50
2022-08-22,0.604,0.748,17492.25
2022-08-23,0.845,0.471,17585.55
2022-08-24,0.846,0.366,17617.25
2022-08-25,0.804,0.460,17531.50
2022-08-26,1.478,0.545,17653.75
2022-08-29,1.459,0.409,17370.25
2022-08-30,1.462,0.410,17827.50
2022-09-01,1.378,0.620,17592.40
2022-09-02,1.381,0.646,17546.75
2022-09-05,1.411,0.511,17710.00
2022-09-06,1.404,0.534,17682.95
2022-09-07,1.365,0.546,17651.05
2022-09-08,1.361,0.387,17824.35
2022-09-09,1.340,0.371,17866.45
2022-09-12,1.318,0.319,17964.35
2022-09-13,1.352,0.257,18105.50
2022-09-14,1.323,0.312,18024.40
2022-09-15,1.246,0.386,17891.80
2022-09-16,1.178,0.699,17566.15
2022-09-19,1.198,0.606,17628.00
2022-09-20,1.208,0.411,17825.65
2022-09-21,1.092,0.510,17731.45
2022-09-22,0.885,0.578,17647.60
2022-09-23,0.619,0.966,17335.85
2022-09-26,0.565,1.532,17028.25
2022-09-27,0.567,1.421,17018.65
2022-09-28,0.583,2.004,16858.70
2022-09-29,0.568,3.079,16814.00
