time,open,high,low,close,"COPPER1!, MCX: Open","COPPER1!, MCX: High","COPPER1!, MCX: Low","COPPER1!, MCX: Close",Volume,Volume MA
1370490300,5895,5956.5498,5869.5,5921.3999,NaN,NaN,NaN,NaN,NaN,NaN
1370576700,5900.0498,5972.7002,5871.2998,5881,NaN,NaN,NaN,NaN,NaN,NaN
1370835900,5907.8999,5931.6499,5857.3999,5878,NaN,NaN,NaN,NaN,NaN,NaN
1370922300,5848.75,5868.0498,5780.3501,5788.7998,NaN,NaN,NaN,NaN,NaN,NaN
1371008700,5771.75,5792.8999,5738.6001,5760.2002,NaN,NaN,NaN,NaN,NaN,NaN
1371095100,5709.3501,5729.8501,5683.1001,5699.1001,NaN,NaN,NaN,NaN,NaN,NaN
1371181500,5748.9502,5819.3999,5739.3999,5808.3999,NaN,NaN,NaN,NaN,NaN,NaN
1371440700,5820.3999,5854.8999,5770.25,5850.0498,NaN,NaN,NaN,NaN,NaN,NaN
1371527100,5841.8999,5863.3999,5804.2998,5813.6001,NaN,NaN,NaN,NaN,NaN,NaN
1371613500,5805.75,5828.3999,5777.8999,5822.25,NaN,NaN,NaN,NaN,NaN,NaN
1371699900,5754.1499,5755,5645.6499,5655.8999,NaN,NaN,NaN,NaN,NaN,NaN
1371786300,5639.8999,5686.1499,5616.8501,5667.6499,NaN,NaN,NaN,NaN,NaN,NaN
1372045500,5638.0498,5640,5566.25,5590.25,NaN,NaN,NaN,NaN,NaN,NaN
1372131900,5606.9502,5666.25,5570.25,5609.1001,NaN,NaN,NaN,NaN,NaN,NaN
1372218300,5627.9502,5635.25,5579.3501,5588.7002,NaN,NaN,NaN,NaN,NaN,NaN
1372304700,5647.9502,5699.3501,5630.9502,5682.3501,NaN,NaN,NaN,NaN,NaN,NaN
1372391100,5749.5,5852.9502,5749.5,5842.2002,NaN,NaN,NaN,NaN,NaN,NaN
1372650300,5834.1001,5904.3501,5822.2002,5898.8501,NaN,NaN,NaN,NaN,NaN,NaN
1372736700,5885.5,5898.7998,5852.2998,5857.5498,NaN,NaN,NaN,NaN,NaN,NaN
1372823100,5811.9502,5815,5760.3999,5770.8999,NaN,NaN,NaN,NaN,NaN,NaN
1372909500,5794.75,5848.2002,5786.0498,5836.9502,NaN,NaN,NaN,NaN,NaN,NaN
1372995900,5889.9502,5900.4502,5858.4502,5867.8999,NaN,NaN,NaN,NaN,NaN,NaN
1373255100,5833.1499,5833.8501,5775.5498,5811.5498,NaN,NaN,NaN,NaN,NaN,NaN
1373341500,5834.6001,5864.9502,5834.6001,5859,NaN,NaN,NaN,NaN,NaN,NaN
1373427900,5869.8999,5879.3501,5802.8501,5816.7002,NaN,NaN,NaN,NaN,NaN,NaN
1373514300,5894.5,5948.8501,5887.9502,5935.1001,NaN,NaN,NaN,NaN,NaN,NaN
1373600700,6000.5,6019,5951.1499,6009,NaN,NaN,NaN,NaN,NaN,NaN
1373859900,5991.2002,6038.2002,5980.9502,6030.7998,NaN,NaN,NaN,NaN,NaN,NaN
1373946300,5930.7998,5966.0498,5910.9502,5955.25,NaN,NaN,NaN,NaN,NaN,NaN
1374032700,5972.25,5989.7998,5926.75,5973.2998,NaN,NaN,NaN,NaN,NaN,NaN
1374119100,5984.7002,6051.1001,5974.5498,6038.0498,NaN,NaN,NaN,NaN,NaN,NaN
1374205500,6057.2002,6066.8501,6020.25,6029.2002,NaN,NaN,NaN,NaN,NaN,NaN
1374464700,6009.75,6064.1499,6004.25,6031.7998,NaN,NaN,NaN,NaN,NaN,NaN
1374551100,6064.2998,6093.3501,6061.2998,6077.7998,NaN,NaN,NaN,NaN,NaN,NaN
1374637500,6032.2002,6047.25,5962.6001,5990.5,NaN,NaN,NaN,NaN,NaN,NaN
1374723900,5970.3999,5990.6499,5896.3999,5907.5,NaN,NaN,NaN,NaN,NaN,NaN
1374810300,5937.9502,5944.5,5869.5,5886.2002,NaN,NaN,NaN,NaN,NaN,NaN
1375069500,5869.9502,5886,5825.7998,5831.6499,NaN,NaN,NaN,NaN,NaN,NaN
1375155900,5836.0498,5861.2998,5747.6001,5755.0498,NaN,NaN,NaN,NaN,NaN,NaN
1375242300,5738.3501,5752.1001,5675.75,5742,NaN,NaN,NaN,NaN,NaN,NaN
1375328700,5776.8999,5808.5,5676.8501,5727.8501,NaN,NaN,NaN,NaN,NaN,NaN
1375415100,5750.0498,5761.8501,5649,5677.8999,NaN,NaN,NaN,NaN,NaN,NaN
1375674300,5682.3999,5721,5661.5,5685.3999,NaN,NaN,NaN,NaN,NaN,NaN
1375760700,5664.8999,5664.8999,5521.7998,5542.25,NaN,NaN,NaN,NaN,NaN,NaN
1375847100,5549.2998,5561.4502,5486.8501,5519.1001,NaN,NaN,NaN,NaN,NaN,NaN
1375933500,5510.0498,5577.6001,5510.0498,5565.6499,NaN,NaN,NaN,NaN,NaN,NaN
1376279100,5606.7002,5644.1001,5557.1001,5612.3999,NaN,NaN,NaN,NaN,NaN,NaN
1376365500,5600.25,5704.75,5578.8999,5699.2998,NaN,NaN,NaN,NaN,NaN,NaN
1376451900,5715.3999,5754.5498,5690.2002,5742.2998,NaN,NaN,NaN,NaN,NaN,NaN
1376624700,5705.4502,5716.6001,5496.0498,5507.8501,NaN,NaN,NaN,NaN,NaN,NaN
